Baldé,Keita,Cagliari
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,73
NON_PEN_XG,0.33,43
TOTAL_SHOTS,2.51,55
ASSISTS,0.05,19
XA,0.10,39
NON_PEN_XG+XA,0.43,38
SHOT_CREATIONS,2.47,64
PASSES_ATTEMPTED,20.34,26
PASS_COMPLETION_PERCENTAGE,73.7,57
PROGRESSIVE_PASSES,1.19,32
PROGRESSIVE CARRIES,3.47,66
DRIBBLES_COMPLETED,0.69,23
TOUCHES_IN_AREA,5.17,50
PROGRESSIVE_PASSES_RECIEVED,8.27,64
PRESSURES,16.27,68
TACKLES,0.73,52
INTERCEPTIONS,0.18,9
BLOCKS,0.69,39
CLEARANCES,0.55,40
AERIAL_DUELS_WON,1.42,36
