Cragno,Alessio,Cagliari
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.07,78
GOALS_CONCEDED,1.62,28
SAVE_PERCENTAGE,69.7,56
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.31,66
PENALTY_SAVE_PERCENTAGE,14.3,54
CLEAN_SHEET_PERCENTAGE,10.8,6
TOUCHES,32.84,34
LAUNCH_PERCENTAGE,52.8,77
GOAL_KICKS,8.59,90
AVG_GOAL_KICK_DISTANCE,49.7,65
CROSSES_STOPPED_PERCENTAGE,8.8,75
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.59,41
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.0,34
