Henrique,Dalbert,Cagliari
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,26
TOTAL_SHOTS,0.40,29
ASSISTS,0.10,62
XA,0.10,68
NON_PEN_XG+XA,0.13,57
SHOT_CREATIONS,2.63,89
PASSES_ATTEMPTED,43.43,13
PASS_COMPLETION_PERCENTAGE,78.1,57
PROGRESSIVE_PASSES,2.53,9
PROGRESSIVE CARRIES,3.23,17
DRIBBLES_COMPLETED,0.40,14
TOUCHES_IN_AREA,1.31,50
PROGRESSIVE_PASSES_RECIEVED,2.93,77
PRESSURES,17.07,89
TACKLES,1.82,37
INTERCEPTIONS,1.41,34
BLOCKS,1.92,54
CLEARANCES,2.02,34
AERIAL_DUELS_WON,1.82,85
