Simeone,Giovanni,Cagliari
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.56,86
NON_PEN_XG,0.39,63
TOTAL_SHOTS,2.56,58
ASSISTS,0.13,48
XA,0.08,21
NON_PEN_XG+XA,0.47,48
SHOT_CREATIONS,2.09,41
PASSES_ATTEMPTED,20.79,31
PASS_COMPLETION_PERCENTAGE,69.0,28
PROGRESSIVE_PASSES,0.43,1
PROGRESSIVE CARRIES,2.35,39
DRIBBLES_COMPLETED,1.20,66
TOUCHES_IN_AREA,5.85,72
PROGRESSIVE_PASSES_RECIEVED,8.28,65
PRESSURES,18.02,80
TACKLES,1.11,81
INTERCEPTIONS,0.51,71
BLOCKS,1.41,95
CLEARANCES,0.85,74
AERIAL_DUELS_WON,1.88,56
