Carboni,Andrea,Cagliari
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,20
TOTAL_SHOTS,0.46,46
ASSISTS,0.04,74
XA,0.01,33
NON_PEN_XG+XA,0.03,15
SHOT_CREATIONS,0.59,56
PASSES_ATTEMPTED,45.27,26
PASS_COMPLETION_PERCENTAGE,78.0,6
PROGRESSIVE_PASSES,3.22,70
PROGRESSIVE CARRIES,4.39,85
DRIBBLES_COMPLETED,0.46,86
TOUCHES_IN_AREA,0.75,45
PROGRESSIVE_PASSES_RECIEVED,0.25,73
PRESSURES,16.95,99
TACKLES,2.26,87
INTERCEPTIONS,1.67,47
BLOCKS,2.13,86
CLEARANCES,4.90,48
AERIAL_DUELS_WON,2.05,25
