Troost-Ekong,William,Watford
DF,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.01,3
TOTAL_SHOTS,0.14,4
ASSISTS,0.00,28
XA,0.01,29
NON_PEN_XG+XA,0.01,2
SHOT_CREATIONS,0.28,10
PASSES_ATTEMPTED,37.06,9
PASS_COMPLETION_PERCENTAGE,79.1,8
PROGRESSIVE_PASSES,2.17,31
PROGRESSIVE CARRIES,1.54,21
DRIBBLES_COMPLETED,0.07,13
TOUCHES_IN_AREA,0.28,5
PROGRESSIVE_PASSES_RECIEVED,0.14,48
PRESSURES,6.71,18
TACKLES,1.12,19
INTERCEPTIONS,1.33,20
BLOCKS,1.89,73
CLEARANCES,5.73,73
AERIAL_DUELS_WON,2.24,38
