Louza,Imran,Watford
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.10,73
NON_PEN_XG,0.09,71
TOTAL_SHOTS,1.29,77
ASSISTS,0.05,38
XA,0.06,41
NON_PEN_XG+XA,0.14,55
SHOT_CREATIONS,1.77,48
PASSES_ATTEMPTED,45.72,35
PASS_COMPLETION_PERCENTAGE,76.0,9
PROGRESSIVE_PASSES,3.78,48
PROGRESSIVE CARRIES,2.63,22
DRIBBLES_COMPLETED,0.53,26
TOUCHES_IN_AREA,0.96,43
PROGRESSIVE_PASSES_RECIEVED,2.58,73
PRESSURES,20.90,76
TACKLES,2.39,57
INTERCEPTIONS,2.25,89
BLOCKS,1.29,27
CLEARANCES,0.86,18
AERIAL_DUELS_WON,1.00,44
