Cleverley,Tom,Watford
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.04,27
TOTAL_SHOTS,0.62,28
ASSISTS,0.25,97
XA,0.15,90
NON_PEN_XG+XA,0.20,78
SHOT_CREATIONS,3.10,92
PASSES_ATTEMPTED,38.11,17
PASS_COMPLETION_PERCENTAGE,72.3,3
PROGRESSIVE_PASSES,2.73,17
PROGRESSIVE CARRIES,1.12,1
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.62,21
PROGRESSIVE_PASSES_RECIEVED,2.36,70
PRESSURES,17.88,46
TACKLES,2.11,44
INTERCEPTIONS,1.12,20
BLOCKS,1.24,22
CLEARANCES,0.87,18
AERIAL_DUELS_WON,0.99,41
