King,Joshua,Watford
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.29,34
NON_PEN_XG,0.42,71
TOTAL_SHOTS,2.19,35
ASSISTS,0.15,57
XA,0.15,64
NON_PEN_XG+XA,0.57,71
SHOT_CREATIONS,2.26,53
PASSES_ATTEMPTED,21.15,34
PASS_COMPLETION_PERCENTAGE,71.0,38
PROGRESSIVE_PASSES,1.17,28
PROGRESSIVE CARRIES,3.57,71
DRIBBLES_COMPLETED,1.46,76
TOUCHES_IN_AREA,5.11,48
PROGRESSIVE_PASSES_RECIEVED,7.15,43
PRESSURES,19.84,90
TACKLES,1.17,85
INTERCEPTIONS,0.66,83
BLOCKS,1.02,78
CLEARANCES,1.09,87
AERIAL_DUELS_WON,3.72,83
