Bachmann,Daniel,Watford
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.10,33
GOALS_CONCEDED,2.25,2
SAVE_PERCENTAGE,64.4,26
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,0.0,1
TOUCHES,33.88,39
LAUNCH_PERCENTAGE,60.4,91
GOAL_KICKS,7.63,56
AVG_GOAL_KICK_DISTANCE,48.4,63
CROSSES_STOPPED_PERCENTAGE,3.1,1
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.88,77
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.2,40
