van Bergen,Mitchell,Reims
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.08,1
TOTAL_SHOTS,0.79,1
ASSISTS,0.00,5
XA,0.04,4
NON_PEN_XG+XA,0.12,1
SHOT_CREATIONS,1.97,35
PASSES_ATTEMPTED,24.96,59
PASS_COMPLETION_PERCENTAGE,70.9,38
PROGRESSIVE_PASSES,1.38,44
PROGRESSIVE CARRIES,3.34,63
DRIBBLES_COMPLETED,1.18,64
TOUCHES_IN_AREA,3.54,6
PROGRESSIVE_PASSES_RECIEVED,5.11,8
PRESSURES,17.29,76
TACKLES,0.59,42
INTERCEPTIONS,0.39,50
BLOCKS,2.16,99
CLEARANCES,0.39,29
AERIAL_DUELS_WON,0.20,2
