Gravillon,Andrew,Reims
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,41
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.52,57
ASSISTS,0.06,88
XA,0.02,73
NON_PEN_XG+XA,0.06,41
SHOT_CREATIONS,0.71,72
PASSES_ATTEMPTED,44.00,21
PASS_COMPLETION_PERCENTAGE,77.8,6
PROGRESSIVE_PASSES,2.71,53
PROGRESSIVE CARRIES,3.14,63
DRIBBLES_COMPLETED,0.28,67
TOUCHES_IN_AREA,0.55,21
PROGRESSIVE_PASSES_RECIEVED,0.31,79
PRESSURES,7.29,29
TACKLES,1.23,28
INTERCEPTIONS,2.21,82
BLOCKS,2.00,81
CLEARANCES,5.78,75
AERIAL_DUELS_WON,1.84,16
