Ekitike,Hugo,Reims
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.65,92
NON_PEN_XG,0.40,67
TOTAL_SHOTS,2.05,27
ASSISTS,0.22,79
XA,0.15,66
NON_PEN_XG+XA,0.55,66
SHOT_CREATIONS,2.37,58
PASSES_ATTEMPTED,25.76,63
PASS_COMPLETION_PERCENTAGE,66.9,17
PROGRESSIVE_PASSES,1.19,31
PROGRESSIVE CARRIES,3.66,71
DRIBBLES_COMPLETED,1.72,88
TOUCHES_IN_AREA,4.85,38
PROGRESSIVE_PASSES_RECIEVED,7.65,54
PRESSURES,18.54,83
TACKLES,1.29,90
INTERCEPTIONS,1.19,99
BLOCKS,1.29,92
CLEARANCES,1.08,86
AERIAL_DUELS_WON,2.26,63
