Abdelhamid,Yunis,Reims
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,81
NON_PEN_XG,0.05,55
TOTAL_SHOTS,0.60,70
ASSISTS,0.00,28
XA,0.01,45
NON_PEN_XG+XA,0.06,47
SHOT_CREATIONS,0.54,51
PASSES_ATTEMPTED,50.26,44
PASS_COMPLETION_PERCENTAGE,85.4,39
PROGRESSIVE_PASSES,2.56,49
PROGRESSIVE CARRIES,2.11,36
DRIBBLES_COMPLETED,0.60,93
TOUCHES_IN_AREA,0.97,69
PROGRESSIVE_PASSES_RECIEVED,0.28,78
PRESSURES,12.59,90
TACKLES,2.14,83
INTERCEPTIONS,2.74,96
BLOCKS,1.71,56
CLEARANCES,4.36,31
AERIAL_DUELS_WON,2.54,50
