"b'Rajkovic, Predrag'",Reims
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.10,86
GOALS_CONCEDED,1.10,79
SAVE_PERCENTAGE,74.5,85
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.29,39
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,34.1,80
TOUCHES,40.05,78
LAUNCH_PERCENTAGE,44.4,53
GOAL_KICKS,7.78,61
AVG_GOAL_KICK_DISTANCE,48.0,59
CROSSES_STOPPED_PERCENTAGE,6.9,44
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.78,71
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,14.7,60
