Foket,Thomas,Reims
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.03,44
NON_PEN_XG,0.01,11
TOTAL_SHOTS,0.26,16
ASSISTS,0.09,55
XA,0.07,45
NON_PEN_XG+XA,0.08,27
SHOT_CREATIONS,1.30,28
PASSES_ATTEMPTED,50.42,40
PASS_COMPLETION_PERCENTAGE,78.8,60
PROGRESSIVE_PASSES,2.72,16
PROGRESSIVE CARRIES,4.17,40
DRIBBLES_COMPLETED,0.72,47
TOUCHES_IN_AREA,0.87,23
PROGRESSIVE_PASSES_RECIEVED,2.23,58
PRESSURES,11.54,33
TACKLES,2.03,49
INTERCEPTIONS,1.82,68
BLOCKS,1.62,29
CLEARANCES,2.11,38
AERIAL_DUELS_WON,1.10,44
