Konan,Ghislain,Reims
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,80
NON_PEN_XG,0.01,19
TOTAL_SHOTS,0.53,44
ASSISTS,0.06,38
XA,0.06,36
NON_PEN_XG+XA,0.08,23
SHOT_CREATIONS,1.52,44
PASSES_ATTEMPTED,51.80,46
PASS_COMPLETION_PERCENTAGE,77.7,53
PROGRESSIVE_PASSES,3.97,64
PROGRESSIVE CARRIES,6.13,80
DRIBBLES_COMPLETED,1.28,80
TOUCHES_IN_AREA,0.82,21
PROGRESSIVE_PASSES_RECIEVED,1.75,35
PRESSURES,8.64,6
TACKLES,1.78,35
INTERCEPTIONS,1.64,54
BLOCKS,1.84,50
CLEARANCES,2.37,49
AERIAL_DUELS_WON,0.85,29
