Nørgaard,Christian,Brentford
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.06,58
NON_PEN_XG,0.13,89
TOTAL_SHOTS,1.09,64
ASSISTS,0.06,50
XA,0.07,53
NON_PEN_XG+XA,0.20,80
SHOT_CREATIONS,1.22,18
PASSES_ATTEMPTED,48.97,46
PASS_COMPLETION_PERCENTAGE,78.3,17
PROGRESSIVE_PASSES,4.80,72
PROGRESSIVE CARRIES,2.62,22
DRIBBLES_COMPLETED,0.32,8
TOUCHES_IN_AREA,1.92,81
PROGRESSIVE_PASSES_RECIEVED,0.83,15
PRESSURES,20.10,70
TACKLES,4.16,99
INTERCEPTIONS,2.43,93
BLOCKS,1.60,55
CLEARANCES,1.22,34
AERIAL_DUELS_WON,1.98,82
