Mbeumo,Bryan,Brentford
AM,RAM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,5
NON_PEN_XG,0.33,44
TOTAL_SHOTS,2.47,53
ASSISTS,0.07,27
XA,0.10,38
NON_PEN_XG+XA,0.43,38
SHOT_CREATIONS,2.18,47
PASSES_ATTEMPTED,24.46,57
PASS_COMPLETION_PERCENTAGE,64.8,11
PROGRESSIVE_PASSES,1.34,42
PROGRESSIVE CARRIES,3.17,60
DRIBBLES_COMPLETED,1.13,61
TOUCHES_IN_AREA,4.23,19
PROGRESSIVE_PASSES_RECIEVED,8.74,76
PRESSURES,15.51,58
TACKLES,0.99,72
INTERCEPTIONS,0.28,29
BLOCKS,1.13,82
CLEARANCES,0.63,47
AERIAL_DUELS_WON,1.13,28
