Janelt,Vitaly,Brentford
CM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.09,71
NON_PEN_XG,0.11,81
TOTAL_SHOTS,0.81,40
ASSISTS,0.00,11
XA,0.09,67
NON_PEN_XG+XA,0.20,78
SHOT_CREATIONS,2.15,64
PASSES_ATTEMPTED,41.55,24
PASS_COMPLETION_PERCENTAGE,75.0,6
PROGRESSIVE_PASSES,4.21,58
PROGRESSIVE CARRIES,2.51,20
DRIBBLES_COMPLETED,0.54,27
TOUCHES_IN_AREA,1.34,61
PROGRESSIVE_PASSES_RECIEVED,1.79,54
PRESSURES,17.28,40
TACKLES,2.69,75
INTERCEPTIONS,1.88,73
BLOCKS,2.33,94
CLEARANCES,1.43,46
AERIAL_DUELS_WON,1.43,61
