Fernández,Álvaro,Brentford
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.02,64
GOALS_CONCEDED,1.56,32
SAVE_PERCENTAGE,67.2,43
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.32,76
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,18.5,27
TOUCHES,41.00,81
LAUNCH_PERCENTAGE,41.1,43
GOAL_KICKS,7.26,45
AVG_GOAL_KICK_DISTANCE,38.7,25
CROSSES_STOPPED_PERCENTAGE,5.5,17
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.81,73
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.9,85
