Raya,David,Brentford
FW,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.09,36
GOALS_CONCEDED,1.00,86
SAVE_PERCENTAGE,69.0,51
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.28,30
CLEAN_SHEET_PERCENTAGE,33.3,76
TOUCHES,48.11,98
LAUNCH_PERCENTAGE,49.4,70
GOAL_KICKS,8.56,89
AVG_GOAL_KICK_DISTANCE,52.8,80
CROSSES_STOPPED_PERCENTAGE,12.2,98
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.44,98
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,15.7,84
