Egan,John,Sheffield Utd
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.03,24
TOTAL_SHOTS,0.55,61
ASSISTS,0.06,84
XA,0.01,43
NON_PEN_XG+XA,0.04,19
SHOT_CREATIONS,0.33,16
PASSES_ATTEMPTED,39.08,12
PASS_COMPLETION_PERCENTAGE,87.4,56
PROGRESSIVE_PASSES,1.60,11
PROGRESSIVE CARRIES,2.49,47
DRIBBLES_COMPLETED,0.11,21
TOUCHES_IN_AREA,0.83,54
PROGRESSIVE_PASSES_RECIEVED,0.06,17
PRESSURES,8.73,49
TACKLES,1.71,66
INTERCEPTIONS,1.66,46
BLOCKS,1.71,57
CLEARANCES,5.97,81
AERIAL_DUELS_WON,3.10,69
