Baldock,George,Sheffield Utd
RB,RM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,2
TOTAL_SHOTS,0.22,12
ASSISTS,0.06,36
XA,0.02,4
NON_PEN_XG+XA,0.03,2
SHOT_CREATIONS,0.72,2
PASSES_ATTEMPTED,34.40,2
PASS_COMPLETION_PERCENTAGE,82.0,76
PROGRESSIVE_PASSES,1.73,1
PROGRESSIVE CARRIES,3.45,23
DRIBBLES_COMPLETED,0.56,30
TOUCHES_IN_AREA,1.39,52
PROGRESSIVE_PASSES_RECIEVED,2.00,47
PRESSURES,14.86,76
TACKLES,1.89,43
INTERCEPTIONS,1.50,41
BLOCKS,1.45,16
CLEARANCES,2.73,69
AERIAL_DUELS_WON,1.00,37
