Basham,Chris,Sheffield Utd
RCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.30,18
ASSISTS,0.06,86
XA,0.02,71
NON_PEN_XG+XA,0.04,17
SHOT_CREATIONS,0.66,65
PASSES_ATTEMPTED,40.71,14
PASS_COMPLETION_PERCENTAGE,83.7,29
PROGRESSIVE_PASSES,2.21,32
PROGRESSIVE CARRIES,3.76,77
DRIBBLES_COMPLETED,0.72,96
TOUCHES_IN_AREA,1.43,94
PROGRESSIVE_PASSES_RECIEVED,1.43,99
PRESSURES,13.83,95
TACKLES,2.38,91
INTERCEPTIONS,1.85,62
BLOCKS,1.91,74
CLEARANCES,4.71,42
AERIAL_DUELS_WON,2.74,57
