Norwood,Oliver,Sheffield Utd
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.03,13
TOTAL_SHOTS,0.55,23
ASSISTS,0.00,11
XA,0.08,57
NON_PEN_XG+XA,0.10,31
SHOT_CREATIONS,1.80,49
PASSES_ATTEMPTED,59.43,74
PASS_COMPLETION_PERCENTAGE,79.6,25
PROGRESSIVE_PASSES,3.81,48
PROGRESSIVE CARRIES,2.10,11
DRIBBLES_COMPLETED,0.20,1
TOUCHES_IN_AREA,0.35,7
PROGRESSIVE_PASSES_RECIEVED,0.65,8
PRESSURES,18.89,55
TACKLES,2.41,58
INTERCEPTIONS,1.75,64
BLOCKS,1.55,53
CLEARANCES,2.61,94
AERIAL_DUELS_WON,0.65,20
