Robinson,Jack,Sheffield Utd
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.02,12
TOTAL_SHOTS,0.53,59
ASSISTS,0.18,99
XA,0.16,99
NON_PEN_XG+XA,0.18,99
SHOT_CREATIONS,0.71,72
PASSES_ATTEMPTED,43.75,20
PASS_COMPLETION_PERCENTAGE,78.5,7
PROGRESSIVE_PASSES,1.42,9
PROGRESSIVE CARRIES,1.60,24
DRIBBLES_COMPLETED,0.36,77
TOUCHES_IN_AREA,0.71,39
PROGRESSIVE_PASSES_RECIEVED,0.36,84
PRESSURES,8.00,37
TACKLES,1.60,60
INTERCEPTIONS,2.13,76
BLOCKS,0.89,1
CLEARANCES,8.00,98
AERIAL_DUELS_WON,3.56,84
