Bogle,Jayden,Sheffield Utd
RB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.16,95
NON_PEN_XG,0.15,98
TOTAL_SHOTS,1.38,95
ASSISTS,0.00,8
XA,0.02,2
NON_PEN_XG+XA,0.16,71
SHOT_CREATIONS,0.89,6
PASSES_ATTEMPTED,31.05,1
PASS_COMPLETION_PERCENTAGE,78.3,58
PROGRESSIVE_PASSES,1.86,2
PROGRESSIVE CARRIES,2.19,4
DRIBBLES_COMPLETED,1.38,83
TOUCHES_IN_AREA,3.00,92
PROGRESSIVE_PASSES_RECIEVED,2.68,70
PRESSURES,18.97,96
TACKLES,2.92,86
INTERCEPTIONS,1.62,53
BLOCKS,2.11,71
CLEARANCES,1.78,23
AERIAL_DUELS_WON,1.30,58
