Stevens,Enda,Sheffield Utd
LB,LM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.05,61
TOTAL_SHOTS,0.50,39
ASSISTS,0.05,30
XA,0.07,44
NON_PEN_XG+XA,0.12,49
SHOT_CREATIONS,1.25,24
PASSES_ATTEMPTED,48.75,31
PASS_COMPLETION_PERCENTAGE,77.0,46
PROGRESSIVE_PASSES,3.85,60
PROGRESSIVE CARRIES,4.20,41
DRIBBLES_COMPLETED,1.10,73
TOUCHES_IN_AREA,1.65,64
PROGRESSIVE_PASSES_RECIEVED,1.60,31
PRESSURES,14.50,73
TACKLES,1.55,20
INTERCEPTIONS,1.85,70
BLOCKS,1.75,41
CLEARANCES,3.10,82
AERIAL_DUELS_WON,1.25,54
