Burke,Oliver,Sheffield Utd
FW,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.11,3
NON_PEN_XG,0.19,7
TOTAL_SHOTS,2.06,27
ASSISTS,0.00,5
XA,0.03,3
NON_PEN_XG+XA,0.23,1
SHOT_CREATIONS,1.94,33
PASSES_ATTEMPTED,19.99,22
PASS_COMPLETION_PERCENTAGE,70.9,38
PROGRESSIVE_PASSES,1.03,19
PROGRESSIVE CARRIES,3.08,56
DRIBBLES_COMPLETED,1.71,88
TOUCHES_IN_AREA,4.57,31
PROGRESSIVE_PASSES_RECIEVED,6.97,40
PRESSURES,30.15,99
TACKLES,1.26,89
INTERCEPTIONS,0.11,1
BLOCKS,1.03,79
CLEARANCES,0.34,25
AERIAL_DUELS_WON,2.17,62
