Guardiola,Sergi,Rayo Vallecano
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.12,4
NON_PEN_XG,0.23,14
TOTAL_SHOTS,1.96,23
ASSISTS,0.12,44
XA,0.07,19
NON_PEN_XG+XA,0.30,7
SHOT_CREATIONS,1.43,9
PASSES_ATTEMPTED,25.71,62
PASS_COMPLETION_PERCENTAGE,65.5,14
PROGRESSIVE_PASSES,1.01,18
PROGRESSIVE CARRIES,2.74,48
DRIBBLES_COMPLETED,1.01,54
TOUCHES_IN_AREA,4.52,28
PROGRESSIVE_PASSES_RECIEVED,7.32,45
PRESSURES,19.29,86
TACKLES,0.83,63
INTERCEPTIONS,0.71,88
BLOCKS,1.13,84
CLEARANCES,0.71,58
AERIAL_DUELS_WON,3.04,75
