Garcia,Francisco,Rayo Vallecano
LB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.02,24
TOTAL_SHOTS,0.59,51
ASSISTS,0.00,8
XA,0.05,22
NON_PEN_XG+XA,0.06,16
SHOT_CREATIONS,1.65,50
PASSES_ATTEMPTED,47.41,27
PASS_COMPLETION_PERCENTAGE,79.9,66
PROGRESSIVE_PASSES,2.53,9
PROGRESSIVE CARRIES,6.12,80
DRIBBLES_COMPLETED,0.53,26
TOUCHES_IN_AREA,0.94,29
PROGRESSIVE_PASSES_RECIEVED,2.24,59
PRESSURES,16.18,84
TACKLES,1.94,45
INTERCEPTIONS,2.35,93
BLOCKS,2.00,61
CLEARANCES,2.29,46
AERIAL_DUELS_WON,0.82,27
