Comesaña,Santi,Rayo Vallecano
DM,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,63
NON_PEN_XG,0.14,92
TOTAL_SHOTS,0.96,53
ASSISTS,0.15,83
XA,0.08,61
NON_PEN_XG+XA,0.22,84
SHOT_CREATIONS,1.19,17
PASSES_ATTEMPTED,47.59,40
PASS_COMPLETION_PERCENTAGE,84.7,56
PROGRESSIVE_PASSES,4.97,74
PROGRESSIVE CARRIES,3.63,47
DRIBBLES_COMPLETED,1.33,87
TOUCHES_IN_AREA,1.41,65
PROGRESSIVE_PASSES_RECIEVED,1.63,48
PRESSURES,27.28,99
TACKLES,3.11,88
INTERCEPTIONS,1.85,72
BLOCKS,2.22,92
CLEARANCES,1.71,65
AERIAL_DUELS_WON,2.15,87
