Merquelanz,Martín,Rayo Vallecano
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,1
NON_PEN_XG,0.23,60
TOTAL_SHOTS,1.91,45
ASSISTS,0.17,46
XA,0.21,69
NON_PEN_XG+XA,0.42,60
SHOT_CREATIONS,2.95,37
PASSES_ATTEMPTED,42.49,63
PASS_COMPLETION_PERCENTAGE,68.6,17
PROGRESSIVE_PASSES,2.08,16
PROGRESSIVE CARRIES,5.72,44
DRIBBLES_COMPLETED,1.73,55
TOUCHES_IN_AREA,2.95,24
PROGRESSIVE_PASSES_RECIEVED,3.82,8
PRESSURES,11.27,10
TACKLES,1.39,56
INTERCEPTIONS,0.87,48
BLOCKS,1.21,53
CLEARANCES,1.04,88
AERIAL_DUELS_WON,0.87,67
