Catena,,Rayo Vallecano
LCB,CB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.05,63
TOTAL_SHOTS,0.47,47
ASSISTS,0.06,86
XA,0.04,86
NON_PEN_XG+XA,0.09,81
SHOT_CREATIONS,1.06,93
PASSES_ATTEMPTED,44.24,23
PASS_COMPLETION_PERCENTAGE,81.9,17
PROGRESSIVE_PASSES,2.00,24
PROGRESSIVE CARRIES,0.76,4
DRIBBLES_COMPLETED,0.18,42
TOUCHES_IN_AREA,0.82,53
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,5.53,5
TACKLES,1.41,46
INTERCEPTIONS,1.53,35
BLOCKS,1.00,2
CLEARANCES,5.12,54
AERIAL_DUELS_WON,3.47,83
