Saveljich,Esteban,Rayo Vallecano
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.06,76
TOTAL_SHOTS,0.57,65
ASSISTS,0.00,28
XA,0.02,59
NON_PEN_XG+XA,0.08,75
SHOT_CREATIONS,0.24,6
PASSES_ATTEMPTED,25.44,1
PASS_COMPLETION_PERCENTAGE,85.0,37
PROGRESSIVE_PASSES,0.81,1
PROGRESSIVE CARRIES,0.89,7
DRIBBLES_COMPLETED,0.00,1
TOUCHES_IN_AREA,0.65,31
PROGRESSIVE_PASSES_RECIEVED,0.00,3
PRESSURES,7.45,31
TACKLES,0.73,3
INTERCEPTIONS,1.22,10
BLOCKS,1.46,28
CLEARANCES,4.70,42
AERIAL_DUELS_WON,2.75,58
