Balliu,Iván,Rayo Vallecano
RB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.01,3
TOTAL_SHOTS,0.25,14
ASSISTS,0.06,43
XA,0.07,43
NON_PEN_XG+XA,0.08,25
SHOT_CREATIONS,1.75,55
PASSES_ATTEMPTED,48.44,30
PASS_COMPLETION_PERCENTAGE,75.5,34
PROGRESSIVE_PASSES,3.25,39
PROGRESSIVE CARRIES,2.94,13
DRIBBLES_COMPLETED,0.63,38
TOUCHES_IN_AREA,0.69,16
PROGRESSIVE_PASSES_RECIEVED,1.06,12
PRESSURES,9.31,10
TACKLES,0.88,1
INTERCEPTIONS,1.88,72
BLOCKS,1.06,1
CLEARANCES,1.50,15
AERIAL_DUELS_WON,0.88,31
