Palazón Camacho,Isaac,Rayo Vallecano
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,29
NON_PEN_XG,0.12,14
TOTAL_SHOTS,2.17,60
ASSISTS,0.00,1
XA,0.09,6
NON_PEN_XG+XA,0.21,6
SHOT_CREATIONS,2.85,33
PASSES_ATTEMPTED,32.20,24
PASS_COMPLETION_PERCENTAGE,73.3,32
PROGRESSIVE_PASSES,3.14,44
PROGRESSIVE CARRIES,4.19,11
DRIBBLES_COMPLETED,1.80,57
TOUCHES_IN_AREA,2.17,9
PROGRESSIVE_PASSES_RECIEVED,5.17,26
PRESSURES,20.37,84
TACKLES,1.95,84
INTERCEPTIONS,1.50,93
BLOCKS,1.80,91
CLEARANCES,0.97,87
AERIAL_DUELS_WON,2.32,96
