Ntekja,Randy,Rayo Vallecano
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.42,65
NON_PEN_XG,0.22,12
TOTAL_SHOTS,1.94,21
ASSISTS,0.00,5
XA,0.18,78
NON_PEN_XG+XA,0.39,29
SHOT_CREATIONS,2.63,69
PASSES_ATTEMPTED,20.08,24
PASS_COMPLETION_PERCENTAGE,64.8,11
PROGRESSIVE_PASSES,1.38,44
PROGRESSIVE CARRIES,2.63,47
DRIBBLES_COMPLETED,1.38,72
TOUCHES_IN_AREA,4.85,38
PROGRESSIVE_PASSES_RECIEVED,5.40,11
PRESSURES,20.49,92
TACKLES,0.42,21
INTERCEPTIONS,0.00,1
BLOCKS,1.25,90
CLEARANCES,0.28,17
AERIAL_DUELS_WON,3.32,79
