Dimitrievski,Stole,Rayo Vallecano
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,+0.29,99
GOALS_CONCEDED,1.07,82
SAVE_PERCENTAGE,79.7,98
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.27,21
PENALTY_SAVE_PERCENTAGE,25.0,74
CLEAN_SHEET_PERCENTAGE,31.3,67
TOUCHES,32.44,28
LAUNCH_PERCENTAGE,57.9,89
GOAL_KICKS,7.50,54
AVG_GOAL_KICK_DISTANCE,58.5,89
CROSSES_STOPPED_PERCENTAGE,10.4,92
DEFENSIVE_ACTIONS_OUTSIDE_AREA,0.30,3
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,11.8,1
