Ciss,Pathé,Rayo Vallecano
,,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.18,92
NON_PEN_XG,0.16,94
TOTAL_SHOTS,1.80,93
ASSISTS,0.18,89
XA,0.05,39
NON_PEN_XG+XA,0.22,83
SHOT_CREATIONS,2.69,83
PASSES_ATTEMPTED,40.24,20
PASS_COMPLETION_PERCENTAGE,81.7,36
PROGRESSIVE_PASSES,3.59,44
PROGRESSIVE CARRIES,2.52,20
DRIBBLES_COMPLETED,0.72,45
TOUCHES_IN_AREA,0.72,27
PROGRESSIVE_PASSES_RECIEVED,0.18,1
PRESSURES,16.35,30
TACKLES,2.52,65
INTERCEPTIONS,2.16,88
BLOCKS,2.87,99
CLEARANCES,3.41,99
AERIAL_DUELS_WON,3.41,98
