Silva,André,RB Leipzig
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.62,91
NON_PEN_XG,0.56,91
TOTAL_SHOTS,3.27,84
ASSISTS,0.25,86
XA,0.15,66
NON_PEN_XG+XA,0.71,91
SHOT_CREATIONS,2.46,63
PASSES_ATTEMPTED,23.90,55
PASS_COMPLETION_PERCENTAGE,73.6,56
PROGRESSIVE_PASSES,1.40,45
PROGRESSIVE CARRIES,2.49,43
DRIBBLES_COMPLETED,0.89,41
TOUCHES_IN_AREA,6.99,91
PROGRESSIVE_PASSES_RECIEVED,9.56,89
PRESSURES,12.50,32
TACKLES,0.36,13
INTERCEPTIONS,0.14,4
BLOCKS,0.75,52
CLEARANCES,0.39,27
AERIAL_DUELS_WON,2.54,68
