Gulácsi,Péter,RB Leipzig
GK,GK,
STAT,VALUE,PERCENTILE
POST_SHOT_XG-CONCEDED,-0.09,36
GOALS_CONCEDED,1.30,55
SAVE_PERCENTAGE,63.1,18
POST_SHOT_XG_PER_SHOT_ON_TARGET,0.34,92
PENALTY_SAVE_PERCENTAGE,0.0,25
CLEAN_SHEET_PERCENTAGE,30.2,63
TOUCHES,37.07,64
LAUNCH_PERCENTAGE,29.4,16
GOAL_KICKS,5.02,4
AVG_GOAL_KICK_DISTANCE,29.6,6
CROSSES_STOPPED_PERCENTAGE,4.8,6
DEFENSIVE_ACTIONS_OUTSIDE_AREA,1.47,98
AVG_DISTANCE_OF_DEFENSIVE_ACTIONS,18.2,98
