Nkunku,Christopher,RB Leipzig
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.48,96
NON_PEN_XG,0.41,92
TOTAL_SHOTS,2.71,81
ASSISTS,0.30,84
XA,0.33,95
NON_PEN_XG+XA,0.74,97
SHOT_CREATIONS,5.02,93
PASSES_ATTEMPTED,42.93,65
PASS_COMPLETION_PERCENTAGE,79.2,69
PROGRESSIVE_PASSES,3.57,59
PROGRESSIVE CARRIES,6.39,58
DRIBBLES_COMPLETED,1.93,64
TOUCHES_IN_AREA,6.85,92
PROGRESSIVE_PASSES_RECIEVED,10.85,96
PRESSURES,19.12,74
TACKLES,1.32,47
INTERCEPTIONS,0.81,40
BLOCKS,1.29,59
CLEARANCES,0.51,45
AERIAL_DUELS_WON,1.29,82
