Angeliño,,RB Leipzig
LB,DF,MF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.10,91
TOTAL_SHOTS,1.09,88
ASSISTS,0.26,96
XA,0.23,97
NON_PEN_XG+XA,0.33,97
SHOT_CREATIONS,3.63,98
PASSES_ATTEMPTED,57.16,70
PASS_COMPLETION_PERCENTAGE,68.9,7
PROGRESSIVE_PASSES,4.42,76
PROGRESSIVE CARRIES,4.05,37
DRIBBLES_COMPLETED,0.53,25
TOUCHES_IN_AREA,3.76,97
PROGRESSIVE_PASSES_RECIEVED,5.34,98
PRESSURES,11.18,26
TACKLES,1.42,13
INTERCEPTIONS,1.52,43
BLOCKS,1.98,60
CLEARANCES,1.71,21
AERIAL_DUELS_WON,0.86,31
