Adams,Tyler,RB Leipzig
DF,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,36
NON_PEN_XG,0.04,30
TOTAL_SHOTS,0.30,5
ASSISTS,0.04,29
XA,0.08,58
NON_PEN_XG+XA,0.12,39
SHOT_CREATIONS,1.41,30
PASSES_ATTEMPTED,65.52,84
PASS_COMPLETION_PERCENTAGE,85.3,61
PROGRESSIVE_PASSES,4.19,58
PROGRESSIVE CARRIES,5.23,79
DRIBBLES_COMPLETED,0.56,29
TOUCHES_IN_AREA,1.04,48
PROGRESSIVE_PASSES_RECIEVED,1.71,50
PRESSURES,19.51,62
TACKLES,2.30,54
INTERCEPTIONS,1.52,43
BLOCKS,2.04,86
CLEARANCES,1.22,36
AERIAL_DUELS_WON,1.37,58
