Klostermann,Lukas,RB Leipzig
CB,RB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.04,46
NON_PEN_XG,0.03,30
TOTAL_SHOTS,0.54,59
ASSISTS,0.04,71
XA,0.03,79
NON_PEN_XG+XA,0.06,48
SHOT_CREATIONS,1.00,91
PASSES_ATTEMPTED,61.66,73
PASS_COMPLETION_PERCENTAGE,87.0,51
PROGRESSIVE_PASSES,3.57,78
PROGRESSIVE CARRIES,3.54,75
DRIBBLES_COMPLETED,0.14,30
TOUCHES_IN_AREA,1.43,93
PROGRESSIVE_PASSES_RECIEVED,0.68,95
PRESSURES,11.87,83
TACKLES,1.75,68
INTERCEPTIONS,1.72,50
BLOCKS,1.86,71
CLEARANCES,3.61,10
AERIAL_DUELS_WON,1.25,3
