Henrichs,Benjamin,RB Leipzig
DF,FB,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.15,93
NON_PEN_XG,0.12,97
TOTAL_SHOTS,0.89,79
ASSISTS,0.30,98
XA,0.16,89
NON_PEN_XG+XA,0.28,93
SHOT_CREATIONS,0.89,6
PASSES_ATTEMPTED,52.90,54
PASS_COMPLETION_PERCENTAGE,76.3,37
PROGRESSIVE_PASSES,5.07,87
PROGRESSIVE CARRIES,3.87,31
DRIBBLES_COMPLETED,0.45,18
TOUCHES_IN_AREA,2.38,85
PROGRESSIVE_PASSES_RECIEVED,2.98,78
PRESSURES,15.65,83
TACKLES,2.53,76
INTERCEPTIONS,2.68,97
BLOCKS,1.94,55
CLEARANCES,1.94,30
AERIAL_DUELS_WON,1.19,50
