Gvardiol,Joško,RB Leipzig
DF,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.05,57
NON_PEN_XG,0.08,88
TOTAL_SHOTS,0.99,97
ASSISTS,0.09,97
XA,0.09,99
NON_PEN_XG+XA,0.17,99
SHOT_CREATIONS,1.22,96
PASSES_ATTEMPTED,62.92,76
PASS_COMPLETION_PERCENTAGE,80.6,12
PROGRESSIVE_PASSES,4.56,93
PROGRESSIVE CARRIES,4.14,81
DRIBBLES_COMPLETED,0.99,99
TOUCHES_IN_AREA,1.60,96
PROGRESSIVE_PASSES_RECIEVED,0.89,96
PRESSURES,13.92,95
TACKLES,2.40,91
INTERCEPTIONS,2.63,94
BLOCKS,1.79,64
CLEARANCES,3.15,6
AERIAL_DUELS_WON,2.35,42
