Forsberg,Emil,RB Leipzig
AM,LM,LW
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.20,43
NON_PEN_XG,0.26,72
TOTAL_SHOTS,2.26,64
ASSISTS,0.16,40
XA,0.23,80
NON_PEN_XG+XA,0.49,76
SHOT_CREATIONS,3.68,68
PASSES_ATTEMPTED,37.93,47
PASS_COMPLETION_PERCENTAGE,78.8,66
PROGRESSIVE_PASSES,3.88,68
PROGRESSIVE CARRIES,4.83,24
DRIBBLES_COMPLETED,1.19,27
TOUCHES_IN_AREA,4.20,57
PROGRESSIVE_PASSES_RECIEVED,8.47,90
PRESSURES,17.82,66
TACKLES,1.11,32
INTERCEPTIONS,0.59,22
BLOCKS,1.19,53
CLEARANCES,0.12,5
AERIAL_DUELS_WON,0.55,40
