Poulsen,Yussuf,RB Leipzig
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.30,38
NON_PEN_XG,0.41,68
TOTAL_SHOTS,2.82,73
ASSISTS,0.18,72
XA,0.21,88
NON_PEN_XG+XA,0.62,79
SHOT_CREATIONS,2.58,67
PASSES_ATTEMPTED,31.28,82
PASS_COMPLETION_PERCENTAGE,69.1,29
PROGRESSIVE_PASSES,2.46,84
PROGRESSIVE CARRIES,3.96,75
DRIBBLES_COMPLETED,1.26,69
TOUCHES_IN_AREA,5.34,60
PROGRESSIVE_PASSES_RECIEVED,10.39,93
PRESSURES,23.00,98
TACKLES,0.84,64
INTERCEPTIONS,0.48,64
BLOCKS,0.90,69
CLEARANCES,1.20,90
AERIAL_DUELS_WON,2.76,72
