Baumgartner,Christoph,Hoffenheim
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.31,74
NON_PEN_XG,0.31,85
TOTAL_SHOTS,2.62,77
ASSISTS,0.04,3
XA,0.13,23
NON_PEN_XG+XA,0.43,64
SHOT_CREATIONS,3.05,43
PASSES_ATTEMPTED,36.38,40
PASS_COMPLETION_PERCENTAGE,75.3,48
PROGRESSIVE_PASSES,3.67,62
PROGRESSIVE CARRIES,5.24,33
DRIBBLES_COMPLETED,1.41,39
TOUCHES_IN_AREA,4.88,71
PROGRESSIVE_PASSES_RECIEVED,5.67,39
PRESSURES,19.07,74
TACKLES,1.84,78
INTERCEPTIONS,0.94,55
BLOCKS,1.64,85
CLEARANCES,0.94,85
AERIAL_DUELS_WON,2.70,99
