"b'Kramaric, Andrej'",Hoffenheim
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.40,59
NON_PEN_XG,0.43,73
TOTAL_SHOTS,3.63,92
ASSISTS,0.31,93
XA,0.24,95
NON_PEN_XG+XA,0.68,86
SHOT_CREATIONS,3.35,87
PASSES_ATTEMPTED,37.70,92
PASS_COMPLETION_PERCENTAGE,77.1,79
PROGRESSIVE_PASSES,2.91,89
PROGRESSIVE CARRIES,6.45,92
DRIBBLES_COMPLETED,1.12,60
TOUCHES_IN_AREA,5.18,52
PROGRESSIVE_PASSES_RECIEVED,8.68,73
PRESSURES,7.50,3
TACKLES,0.37,14
INTERCEPTIONS,0.50,69
BLOCKS,0.40,7
CLEARANCES,0.22,11
AERIAL_DUELS_WON,0.56,8
