Dabbur,Moanes,Hoffenheim
ST,FW,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.59,90
NON_PEN_XG,0.46,80
TOTAL_SHOTS,3.29,85
ASSISTS,0.25,87
XA,0.24,92
NON_PEN_XG+XA,0.70,90
SHOT_CREATIONS,3.12,80
PASSES_ATTEMPTED,34.16,88
PASS_COMPLETION_PERCENTAGE,75.3,68
PROGRESSIVE_PASSES,2.87,88
PROGRESSIVE CARRIES,3.12,58
DRIBBLES_COMPLETED,2.36,97
TOUCHES_IN_AREA,6.75,87
PROGRESSIVE_PASSES_RECIEVED,8.69,74
PRESSURES,15.94,64
TACKLES,1.27,90
INTERCEPTIONS,0.93,98
BLOCKS,0.59,28
CLEARANCES,0.25,15
AERIAL_DUELS_WON,1.77,53
