Geiger,Dennis,Hoffenheim
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.24,97
NON_PEN_XG,0.07,59
TOTAL_SHOTS,1.32,79
ASSISTS,0.24,96
XA,0.16,91
NON_PEN_XG+XA,0.23,85
SHOT_CREATIONS,3.23,93
PASSES_ATTEMPTED,46.91,38
PASS_COMPLETION_PERCENTAGE,79.3,23
PROGRESSIVE_PASSES,2.75,17
PROGRESSIVE CARRIES,3.35,40
DRIBBLES_COMPLETED,0.24,2
TOUCHES_IN_AREA,1.20,57
PROGRESSIVE_PASSES_RECIEVED,0.84,15
PRESSURES,17.59,44
TACKLES,2.03,42
INTERCEPTIONS,2.03,80
BLOCKS,1.08,11
CLEARANCES,0.12,1
AERIAL_DUELS_WON,0.00,1
