Adamyan,Sargis,Hoffenheim
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.23,56
NON_PEN_XG,0.24,64
TOTAL_SHOTS,2.18,61
ASSISTS,0.23,66
XA,0.26,86
NON_PEN_XG+XA,0.51,78
SHOT_CREATIONS,3.56,66
PASSES_ATTEMPTED,28.01,9
PASS_COMPLETION_PERCENTAGE,72.5,28
PROGRESSIVE_PASSES,2.30,21
PROGRESSIVE CARRIES,5.05,29
DRIBBLES_COMPLETED,0.92,15
TOUCHES_IN_AREA,4.94,72
PROGRESSIVE_PASSES_RECIEVED,7.00,63
PRESSURES,18.48,72
TACKLES,2.53,97
INTERCEPTIONS,1.03,63
BLOCKS,0.92,22
CLEARANCES,0.34,26
AERIAL_DUELS_WON,1.38,84
