Stiller,Angelo,Hoffenheim
MF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.14,86
NON_PEN_XG,0.04,33
TOTAL_SHOTS,0.71,34
ASSISTS,0.14,81
XA,0.09,65
NON_PEN_XG+XA,0.13,48
SHOT_CREATIONS,1.28,22
PASSES_ATTEMPTED,50.55,51
PASS_COMPLETION_PERCENTAGE,84.5,55
PROGRESSIVE_PASSES,4.56,68
PROGRESSIVE CARRIES,2.14,13
DRIBBLES_COMPLETED,0.28,6
TOUCHES_IN_AREA,1.42,66
PROGRESSIVE_PASSES_RECIEVED,3.28,86
PRESSURES,19.22,60
TACKLES,2.14,46
INTERCEPTIONS,1.85,72
BLOCKS,1.71,65
CLEARANCES,0.85,18
AERIAL_DUELS_WON,1.57,67
