"b'Gacinovic, Mijat'",Hoffenheim
AM,WM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,18
NON_PEN_XG,0.19,99
TOTAL_SHOTS,1.26,95
ASSISTS,0.25,94
XA,0.23,96
NON_PEN_XG+XA,0.40,99
SHOT_CREATIONS,2.64,89
PASSES_ATTEMPTED,49.90,38
PASS_COMPLETION_PERCENTAGE,78.6,59
PROGRESSIVE_PASSES,4.78,83
PROGRESSIVE CARRIES,4.15,39
DRIBBLES_COMPLETED,0.88,55
TOUCHES_IN_AREA,2.39,85
PROGRESSIVE_PASSES_RECIEVED,4.27,94
PRESSURES,14.46,73
TACKLES,2.39,70
INTERCEPTIONS,1.89,73
BLOCKS,2.26,79
CLEARANCES,2.14,39
AERIAL_DUELS_WON,1.26,55
