Raum,David,Hoffenheim
DF,MF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.07,77
NON_PEN_XG,0.04,50
TOTAL_SHOTS,0.87,77
ASSISTS,0.29,98
XA,0.27,99
NON_PEN_XG+XA,0.30,96
SHOT_CREATIONS,3.48,97
PASSES_ATTEMPTED,65.80,88
PASS_COMPLETION_PERCENTAGE,73.8,24
PROGRESSIVE_PASSES,4.20,71
PROGRESSIVE CARRIES,3.99,35
DRIBBLES_COMPLETED,0.94,62
TOUCHES_IN_AREA,1.88,72
PROGRESSIVE_PASSES_RECIEVED,2.83,74
PRESSURES,13.41,61
TACKLES,2.46,72
INTERCEPTIONS,1.30,27
BLOCKS,2.03,65
CLEARANCES,2.83,73
AERIAL_DUELS_WON,1.23,53
