Nuhu,Kasim,Hoffenheim
CB,DF,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,16
NON_PEN_XG,0.06,68
TOTAL_SHOTS,0.68,77
ASSISTS,0.00,28
XA,0.00,4
NON_PEN_XG+XA,0.06,43
SHOT_CREATIONS,0.79,78
PASSES_ATTEMPTED,56.10,60
PASS_COMPLETION_PERCENTAGE,85.1,37
PROGRESSIVE_PASSES,5.29,97
PROGRESSIVE CARRIES,2.82,55
DRIBBLES_COMPLETED,0.68,95
TOUCHES_IN_AREA,0.68,35
PROGRESSIVE_PASSES_RECIEVED,0.45,90
PRESSURES,5.86,10
TACKLES,1.24,29
INTERCEPTIONS,0.56,1
BLOCKS,2.14,86
CLEARANCES,4.51,36
AERIAL_DUELS_WON,2.03,23
