Bebou,Ihlas,Hoffenheim
FW,AM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.39,56
NON_PEN_XG,0.46,80
TOTAL_SHOTS,2.12,31
ASSISTS,0.16,64
XA,0.15,65
NON_PEN_XG+XA,0.62,79
SHOT_CREATIONS,2.80,71
PASSES_ATTEMPTED,25.34,61
PASS_COMPLETION_PERCENTAGE,73.3,54
PROGRESSIVE_PASSES,1.73,63
PROGRESSIVE CARRIES,3.42,64
DRIBBLES_COMPLETED,1.66,87
TOUCHES_IN_AREA,5.70,71
PROGRESSIVE_PASSES_RECIEVED,8.60,72
PRESSURES,15.47,57
TACKLES,1.07,77
INTERCEPTIONS,0.55,74
BLOCKS,0.91,73
CLEARANCES,0.91,76
AERIAL_DUELS_WON,2.57,68
