Grillitsch,Florian,Hoffenheim
CM,DM,
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.00,14
NON_PEN_XG,0.05,41
TOTAL_SHOTS,0.75,37
ASSISTS,0.04,29
XA,0.04,27
NON_PEN_XG+XA,0.09,27
SHOT_CREATIONS,2.14,64
PASSES_ATTEMPTED,71.57,91
PASS_COMPLETION_PERCENTAGE,87.9,82
PROGRESSIVE_PASSES,6.51,93
PROGRESSIVE CARRIES,6.28,89
DRIBBLES_COMPLETED,0.64,37
TOUCHES_IN_AREA,0.60,19
PROGRESSIVE_PASSES_RECIEVED,1.05,23
PRESSURES,12.60,6
TACKLES,2.41,59
INTERCEPTIONS,2.93,98
BLOCKS,1.84,75
CLEARANCES,3.01,97
AERIAL_DUELS_WON,1.62,69
