Terrier,Martin,Rennes
FW,MF,WF
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.46,75
NON_PEN_XG,0.28,26
TOTAL_SHOTS,1.90,18
ASSISTS,0.18,73
XA,0.16,69
NON_PEN_XG+XA,0.43,39
SHOT_CREATIONS,2.95,76
PASSES_ATTEMPTED,29.29,79
PASS_COMPLETION_PERCENTAGE,80.4,90
PROGRESSIVE_PASSES,2.12,73
PROGRESSIVE CARRIES,3.53,69
DRIBBLES_COMPLETED,0.89,41
TOUCHES_IN_AREA,5.37,61
PROGRESSIVE_PASSES_RECIEVED,9.49,88
PRESSURES,19.81,89
TACKLES,1.20,87
INTERCEPTIONS,0.58,78
BLOCKS,1.29,91
CLEARANCES,0.55,42
AERIAL_DUELS_WON,1.81,54
