Martin,Jonas,Rennes
CB,AM,CM
STAT,VALUE,PERCENTILE
NON_PEN_GOALS,0.08,67
NON_PEN_XG,0.03,23
TOTAL_SHOTS,0.90,46
ASSISTS,0.00,11
XA,0.02,8
NON_PEN_XG+XA,0.05,9
SHOT_CREATIONS,1.88,53
PASSES_ATTEMPTED,75.65,94
PASS_COMPLETION_PERCENTAGE,90.8,96
PROGRESSIVE_PASSES,5.22,78
PROGRESSIVE CARRIES,4.24,59
DRIBBLES_COMPLETED,0.33,9
TOUCHES_IN_AREA,0.82,34
PROGRESSIVE_PASSES_RECIEVED,1.30,35
PRESSURES,14.84,18
TACKLES,2.20,49
INTERCEPTIONS,1.39,31
BLOCKS,1.71,65
CLEARANCES,1.06,26
AERIAL_DUELS_WON,1.06,46
